0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:31 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:31 +0800] "GET /music_view/img/loading.gif HTTP/1.1" 200 33826
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:31 +0800] "GET /music_view/img/bg_detail.jpg HTTP/1.1" 200 26448
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:31 +0800] "GET /music_view/img/bg_singer.jpg HTTP/1.1" 200 99243
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:32 +0800] "GET /music_view/singer_discover!updateSingerList.action?pageNo=1&category=all&letter=hot HTTP/1.1" 200 21153
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:32 +0800] "GET /music_view/js/singer_discover_content.js?_=1507531471225 HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:33 +0800] "GET /music_view/img/singer_300.png HTTP/1.1" 200 5769
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:33 +0800] "GET /music_view/index.action HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:35 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:44:35 +0800] "GET /music_view/index.action HTTP/1.1" 200 592604
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:45:06 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:45:11 +0800] "GET /music_view/ajax!updateNewMusic.action?language=inland HTTP/1.1" 200 7313
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:06 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:06 +0800] "GET /music_view/index.action HTTP/1.1" 200 593105
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:09 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:09 +0800] "GET /music_view/index.action HTTP/1.1" 200 593106
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:16 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:16 +0800] "GET /music_view/index.action HTTP/1.1" 200 593104
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:30 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:51:30 +0800] "GET /music_view/index.action HTTP/1.1" 200 593104
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:05 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:06 +0800] "GET /music_view/index.action HTTP/1.1" 200 597488
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/css/album.css HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/js/album.js HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/img/album_cover.png HTTP/1.1" 200 9304
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/album.action?albumId=001DmIhD39LkeJ HTTP/1.1" 200 582001
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/img/icon_list_menu.png HTTP/1.1" 200 9736
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:12 +0800] "GET /music_view/img/popup_arrow.png HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:13 +0800] "GET /music_view/img/logoIcon.png HTTP/1.1" 200 17479
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:25 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:29 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:29 +0800] "GET /music_view/album.action?albumId=0000390v2mFnV6 HTTP/1.1" 200 570636
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:43 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:47 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:47 +0800] "GET /music_view/album.action?albumId=0000390v2mFnV6 HTTP/1.1" 200 570628
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:58 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:56:58 +0800] "GET /music_view/album.action?albumId=00005HUZ2eyBmM HTTP/1.1" 200 569123
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:08 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:08 +0800] "GET /music_view/album.action?albumId=00001Kxi26K2Ds HTTP/1.1" 200 567567
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:13 +0800] "GET /music_view/ajax!updateNewMusic.action?language=Japan HTTP/1.1" 200 7656
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:19 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:19 +0800] "GET /music_view/album.action?albumId=00000Bv41KIXjW HTTP/1.1" 200 565231
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:54 +0800] "GET /music_view/ajax!updateNewMusic.action?language=Europe_And_America HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:58 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:57:58 +0800] "GET /music_view/album.action?albumId=00003j4M3VLGCr HTTP/1.1" 200 569921
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:03 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:03 +0800] "GET /music_view/index.action HTTP/1.1" 200 597498
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:05 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:08 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:08 +0800] "GET /music_view/album.action?albumId=0000390v2mFnV6 HTTP/1.1" 200 570635
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/css/template.css HTTP/1.1" 200 12931
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/js/template.js HTTP/1.1" 200 15517
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/css/index.css HTTP/1.1" 200 7591
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/js/index.js HTTP/1.1" 200 20828
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/img/logo.png HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:49 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/cover_play.png HTTP/1.1" 200 2220
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/icon_sprite.png HTTP/1.1" 200 25339
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/bg_index_new.jpg HTTP/1.1" 200 104718
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/index.action HTTP/1.1" 200 597494
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/10.jpg HTTP/1.1" 200 100176
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/9.jpg HTTP/1.1" 200 54729
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/1.jpg HTTP/1.1" 200 100607
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/2.jpg HTTP/1.1" 200 77266
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/3.jpg HTTP/1.1" 200 69638
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/4.jpg HTTP/1.1" 200 65748
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/5.jpg HTTP/1.1" 200 51105
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/6.jpg HTTP/1.1" 200 63853
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/7.jpg HTTP/1.1" 200 58342
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/hotRecommendedMVHead/8.jpg HTTP/1.1" 200 80481
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:50 +0800] "GET /music_view/img/footer.png HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:08:54 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/css/album.css HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/js/album.js HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/img/album_cover.png HTTP/1.1" 200 9304
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/album.action?albumId=0000LI0j0wR7bE HTTP/1.1" 200 568872
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/img/bg_detail.jpg HTTP/1.1" 200 26448
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/img/icon_list_menu.png HTTP/1.1" 200 9736
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:00 +0800] "GET /music_view/img/popup_arrow.png HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:01 +0800] "GET /music_view/img/logoIcon.png HTTP/1.1" 200 17479
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:32 +0800] "GET /music_view/ajax!updateNewMusic.action?language=Japan HTTP/1.1" 200 7656
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:36 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:09:36 +0800] "GET /music_view/album.action?albumId=00001fKn2Kl4EH HTTP/1.1" 200 563810
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/album_discover.action HTTP/1.1" 200 550879
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/css/album_discover.css HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/css/album_discover_content.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/js/album_discover.js HTTP/1.1" 200 9954
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:13 +0800] "GET /music_view/img/loading.gif HTTP/1.1" 200 33826
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:17 +0800] "GET /music_view/album_discover!updateAlbumList.action?albumCondition=%7B%22language%22%3A%22all%22%2C%22genres%22%3A%22all%22%2C%22price%22%3A%22all%22%2C%22category%22%3A%22all%22%2C%22years%22%3A%22all%22%2C%22albumCompany%22%3A%22all%22%7D&pageNo=1 HTTP/1.1" 200 20658
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:17 +0800] "GET /music_view/js/album_discover_content.js?_=1507533013137 HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:10:17 +0800] "GET /img/icon_sprite.png HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:13:44 +0800] "GET /music_view/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:13:44 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:13:44 +0800] "GET /music_view/index.action HTTP/1.1" 200 597570
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:50 +0800] "GET /music_view/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:50 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:50 +0800] "GET /music_view/index.action HTTP/1.1" 200 597586
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:54 +0800] "GET /music_view/album_discover.action HTTP/1.1" 200 552531
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:54 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2325
